100,100,48.0,801,49,180,133,215,2,222,59,16,240,239,146,100
99,99,48.0,288,15,134,110,200,1,241,179,55,146,46,62,99
98,98,48.0,342,85,194,241,81,1,187,54,50,178,227,8,98
97,97,48.0,500,239,234,117,61,2,217,191,24,16,172,146,97
96,96,48.0,47,144,86,108,205,2,241,90,77,189,133,119,96
95,95,48.0,310,148,97,148,218,1,236,246,113,185,40,26,95
94,94,48.0,571,208,231,82,73,1,206,183,59,158,62,141,94
93,93,48.0,900,13,206,16,234,1,123,246,119,30,52,239,93
92,92,48.0,668,203,181,149,40,2,213,67,71,38,95,158,92
91,91,48.0,535,90,131,185,237,2,213,161,31,121,212,176,91
90,90,48.0,443,36,95,182,71,2,29,209,176,74,166,29,90
89,89,48.0,504,210,237,22,90,2,94,55,150,128,231,215,89
88,88,48.0,725,64,17,148,52,1,144,57,38,152,18,5,88
87,87,48.0,182,160,82,240,185,2,2,59,85,83,194,66,87
86,86,48.0,610,99,209,166,64,1,238,75,88,159,225,93,86
85,85,48.0,379,212,3,16,88,2,78,133,1,205,107,40,85
84,84,48.0,471,76,74,166,137,1,195,209,138,74,166,201,84
83,83,48.0,402,233,200,243,21,1,164,35,26,17,188,94,83
82,82,48.0,990,103,237,153,248,1,192,219,146,56,59,165,82
81,81,48.0,505,119,193,32,33,2,184,200,58,45,98,7,81
80,80,48.0,10,157,231,197,183,1,147,131,135,111,64,61,80
79,79,48.0,652,89,72,45,224,1,191,100,7,239,90,133,79
78,78,48.0,253,17,198,60,184,1,158,133,96,233,196,38,78
77,77,48.0,777,226,55,145,242,1,248,145,85,19,155,10,77
76,76,48.0,223,71,190,166,103,2,120,41,22,233,166,200,76
75,75,48.0,955,170,160,87,47,2,90,68,59,192,33,103,75
74,74,48.0,821,208,109,222,114,1,8,21,249,16,37,136,74
73,73,48.0,169,212,99,79,34,1,107,243,200,55,7,96,73
72,72,48.0,491,72,234,72,94,2,149,86,151,144,168,13,72
71,71,48.0,586,99,96,100,144,2,246,2,226,24,2,155,71
70,70,48.0,933,248,22,200,71,1,92,173,228,96,227,195,70
69,69,48.0,549,143,119,152,161,2,210,1,83,240,32,175,69
68,68,48.0,699,38,209,116,4,1,16,187,2,144,103,200,68
67,67,48.0,659,88,81,212,219,2,196,110,246,128,118,73,67
66,66,48.0,213,23,91,141,151,1,173,197,158,162,125,58,66
65,65,48.0,675,193,142,200,74,2,192,241,24,203,122,14,65
64,64,48.0,19,200,76,212,170,1,185,47,198,167,72,4,64
63,63,48.0,129,117,39,88,54,1,161,194,138,13,231,9,63
62,62,48.0,300,6,36,97,83,2,38,197,179,4,213,230,62
61,61,48.0,829,187,187,95,116,2,37,84,215,119,161,135,61
60,60,48.0,988,129,188,6,118,1,246,175,173,122,15,230,60
59,59,48.0,703,4,132,225,37,2,233,46,88,119,194,204,59
58,58,48.0,995,89,130,136,201,2,159,71,157,231,122,63,58
57,57,48.0,623,101,195,219,53,2,197,157,138,2,245,2,57
56,56,48.0,372,62,156,247,222,2,217,95,83,145,123,238,56
55,55,48.0,164,233,23,34,90,1,98,145,245,219,191,44,55
54,54,48.0,457,82,90,161,219,1,51,10,212,233,92,169,54
53,53,48.0,461,136,23,59,41,1,57,198,171,122,31,106,53
52,52,48.0,299,224,157,194,240,1,87,60,103,165,22,223,52
51,51,48.0,593,192,1,71,91,2,134,63,64,28,249,85,51
50,50,48.0,917,8,231,26,160,2,167,102,193,241,37,245,50
49,49,48.0,166,5,116,239,172,2,97,148,64,201,65,89,49
48,48,48.0,195,14,108,119,59,1,238,187,244,125,111,193,48
47,47,48.0,23,157,105,63,188,2,60,159,48,128,56,177,47
46,46,48.0,450,74,39,100,86,1,237,155,230,130,65,116,46
45,45,48.0,261,42,238,181,207,2,160,128,126,241,237,24,45
44,44,48.0,1,160,26,73,45,1,102,129,43,17,178,13,44
43,43,48.0,976,179,116,76,123,2,216,235,50,112,197,59,43
42,42,48.0,260,189,246,144,231,1,157,106,226,78,86,168,42
41,41,48.0,414,15,125,204,140,1,168,161,29,126,230,224,41
40,40,48.0,167,9,237,30,135,2,186,134,6,78,155,129,40
39,39,48.0,441,241,36,226,180,2,126,239,227,47,221,39,39
38,38,48.0,12,156,74,123,187,1,59,160,169,215,133,39,38
37,37,48.0,542,25,202,241,199,2,180,24,76,109,82,215,37
36,36,48.0,938,27,53,29,11,1,96,162,207,42,155,121,36
35,35,48.0,730,44,193,50,152,1,204,165,38,148,115,160,35
34,34,48.0,698,161,239,80,243,2,184,23,151,130,16,168,34
33,33,48.0,77,98,228,16,181,1,158,94,83,72,240,230,33
32,32,48.0,431,178,18,190,15,2,172,140,125,58,159,175,32
31,31,48.0,770,70,84,140,188,2,246,14,154,23,88,192,31
30,30,48.0,542,180,116,207,23,2,198,94,192,110,191,116,30
29,29,48.0,886,120,245,61,214,1,80,85,232,173,243,125,29
28,28,48.0,975,29,133,236,163,2,121,6,121,160,221,133,28
27,27,48.0,292,35,86,210,151,2,57,191,170,131,52,109,27
26,26,48.0,423,195,163,223,32,2,46,17,29,244,220,243,26
25,25,48.0,361,212,213,217,113,2,247,17,30,15,134,60,25
24,24,48.0,271,216,159,138,136,1,19,161,175,163,81,225,24
23,23,48.0,430,103,165,176,102,2,110,222,211,64,136,153,23
22,22,48.0,356,74,16,186,248,2,247,187,207,14,182,151,22
21,21,48.0,160,195,192,218,163,2,202,71,235,196,249,107,21
20,20,48.0,799,154,136,5,124,1,48,205,13,98,41,115,20
19,19,48.0,241,1,199,154,53,1,107,154,97,31,148,120,19
18,18,48.0,494,246,87,132,130,1,247,118,132,237,184,241,18
17,17,48.0,113,2,210,244,235,2,84,202,159,139,2,120,17
16,16,48.0,41,90,232,114,147,2,115,73,225,76,5,139,16
15,15,48.0,620,137,43,231,99,1,59,17,163,178,84,238,15
14,14,48.0,169,65,76,137,152,2,193,14,188,7,72,35,14
13,13,48.0,788,171,189,78,94,2,87,111,168,53,23,32,13
12,12,48.0,969,160,68,180,228,1,201,208,41,199,33,103,12
11,11,48.0,137,130,216,156,56,2,18,231,127,110,67,20,11
10,10,48.0,466,196,249,205,26,1,24,193,50,227,235,109,10
9,9,48.0,216,49,50,223,27,2,128,230,58,166,58,161,9
8,8,48.0,335,46,109,4,50,1,85,146,90,146,44,18,8
7,7,48.0,278,80,84,47,238,2,81,73,110,230,97,207,7
6,6,48.0,835,206,125,89,188,2,229,237,69,153,125,39,6
5,5,48.0,275,63,114,124,172,2,94,83,143,99,225,201,5
4,4,48.0,226,118,40,124,201,1,56,121,65,50,50,153,4
3,3,48.0,597,7,146,19,243,2,49,80,210,58,231,182,3
2,2,48.0,242,170,172,171,226,1,180,220,108,20,103,213,2
1,1,48.0,236,202,204,99,163,1,61,140,212,5,22,220,1
