111jugador,111,111,24.0,29,2,24,27,12,19,18,14,19,27,22,26
110jugador,110,110,24.0,18,22,3,1,1,23,13,28,22,3,29,3
109jugador,109,109,24.0,17,12,9,21,23,15,2,14,21,6,15,4
108jugador,108,108,24.0,15,15,29,6,20,26,8,7,23,29,1,26
107jugador,107,107,24.0,6,14,1,5,14,12,9,15,29,28,7,4
106jugador,106,106,24.0,28,18,13,3,2,23,24,14,19,20,15,24
105jugador,105,105,24.0,8,5,17,11,20,21,2,25,15,28,2,12
104jugador,104,104,24.0,19,22,8,5,29,9,13,13,19,17,11,17
103jugador,103,103,24.0,4,23,4,13,15,18,17,10,27,25,18,3
102jugador,102,102,24.0,5,19,21,5,23,16,25,19,21,22,26,21
101jugador,101,101,24.0,6,23,28,7,6,22,22,9,15,29,27,2
